"동별(1)",동별(2),동별(3),2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",성북구,정릉4동,10742,24192,11344,12848,23570,11211,12359,622,133,489
"합계",성북구,길음1동,12824,35657,16817,18840,35499,16761,18738,158,56,102
"합계",성북구,길음2동,8656,21482,10223,11259,21347,10165,11182,135,58,77
"합계",성북구,월곡1동,10606,25061,12006,13055,24784,11907,12877,277,99,178
"합계",성북구,월곡2동,9573,19161,8990,10171,18360,8701,9659,801,289,512
"합계",성북구,장위1동,10557,22993,11137,11856,22732,11030,11702,261,107,154
"합계",성북구,장위2동,7822,15994,7812,8182,15657,7661,7996,337,151,186
"합계",성북구,장위3동,7648,18787,9168,9619,18613,9101,9512,174,67,107
"합계",성북구,성북동,8031,16207,7500,8707,15595,7246,8349,612,254,358
"합계",성북구,삼선동,11412,22360,10443,11917,21680,10257,11423,680,186,494
"합계",성북구,동선동,9747,15932,6243,9689,14785,5943,8842,1147,300,847
"합계",성북구,종암동,17139,39184,19097,20087,36863,18151,18712,2321,946,1375
"합계",성북구,석관동,16588,34053,16713,17340,32861,16118,16743,1192,595,597
"합계",강북구,소계,142415,286230,136702,149528,279632,134522,145110,6598,2180,4418
"합계",강북구,번1동,9651,17097,8224,8873,16067,7862,8205,1030,362,668
"합계",강북구,번2동,7414,14506,6882,7624,14375,6836,7539,131,46,85
"합계",강북구,번3동,7579,15739,7283,8456,15673,7265,8408,66,18,48
"합계",강북구,수유1동,10414,19876,9579,10297,19341,9414,9927,535,165,370
"합계",강북구,수유2동,9685,20223,9531,10692,19973,9457,10516,250,74,176
"합계",강북구,수유3동,13605,23892,11358,12534,22458,10937,11521,1434,421,1013
"합계",강북구,삼양동,11717,24678,12122,12556,24417,12032,12385,261,90,171
"합계",강북구,미아동,11766,21149,9960,11189,20263,9697,10566,886,263,623
"합계",강북구,송중동,13605,28283,13400,14883,27487,13073,14414,796,327,469
"합계",강북구,송천동,11787,22454,11029,11425,21955,10825,11130,499,204,295
"합계",강북구,삼각산동,11489,30152,14431,15721,30044,14395,15649,108,36,72
"합계",강북구,우이동,9605,19622,9266,10356,19416,9199,10217,206,67,139
"합계",강북구,인수동,14098,28559,13637,14922,28163,13530,14633,396,107,289
"합계",도봉구,소계,139131,303683,146186,157497,300627,145105,155522,3056,1081,1975
"합계",도봉구,쌍문1동,9695,21083,9862,11221,20550,9761,10789,533,101,432
"합계",도봉구,쌍문2동,8399,17612,8403,9209,17384,8282,9102,228,121,107
"합계",도봉구,쌍문3동,8209,16285,7694,8591,15986,7608,8378,299,86,213
"합계",도봉구,쌍문4동,7092,17789,8360,9429,17730,8345,9385,59,15,44
"합계",도봉구,방학1동,13145,27843,13675,14168,27503,13540,13963,340,135,205
"합계",도봉구,방학2동,9042,17912,8939,8973,17688,8840,8848,224,99,125
"합계",도봉구,방학3동,9901,25475,12265,13210,25397,12244,13153,78,21,57
"합계",도봉구,창1동,10912,23769,11254,12515,23520,11155,12365,249,99,150
"합계",도봉구,창2동,12656,27834,13380,14454,27516,13253,14263,318,127,191
"합계",도봉구,창3동,6379,12915,6429,6486,12792,6384,6408,123,45,78
"합계",도봉구,창4동,11299,26076,12396,13680,25957,12346,13611,119,50,69
"합계",도봉구,창5동,10310,23504,11116,12388,23356,11067,12289,148,49,99
"합계",도봉구,도봉1동,10222,19724,9817,9907,19535,9745,9790,189,72,117
"합계",도봉구,도봉2동,11870,25862,12596,13266,25713,12535,13178,149,61,88
"합계",노원구,소계,217192,490573,234360,256213,485290,232209,253081,5283,2151,3132
"합계",노원구,월계1동,10054,21046,10785,10261,20153,10385,9768,893,400,493
"합계",노원구,월계2동,11651,25140,11994,13146,24940,11909,13031,200,85,115
"합계",노원구,월계3동,12849,28126,13331,14795,27947,13276,14671,179,55,124
"합계",노원구,공릉2동,17902,41718,20053,21665,40818,19740,21078,900,313,587
"합계",노원구,하계1동,12425,26372,12536,13836,25689,12236,13453,683,300,383
"합계",노원구,하계2동,7598,19729,9392,10337,19673,9373,10300,56,19,37
"합계",노원구,중계본동,7860,22326,10787,11539,22271,10764,11507,55,23,32
"합계",노원구,중계1동,8938,26113,12725,13388,26013,12687,13326,100,38,62
"합계",노원구,중계4동,8131,18851,9097,9754,18653,8942,9711,198,155,43
"합계",노원구,상계1동,15565,36335,17397,18938,36156,17325,18831,179,72,107
"합계",노원구,상계2동,8531,18824,9225,9599,18626,9148,9478,198,77,121
"합계",노원구,상계5동,10844,22404,10835,11569,22249,10788,11461,155,47,108
"합계",노원구,상계8동,9083,21345,10069,11276,21282,10057,11225,63,12,51
