"자치구별(1)","연령별(1)",연령별(2),2042,2042,2042
"자치구별(1)","연령별(1)",연령별(2),계,남자,여자
"중구","40~44세",40세,1573,770,803
"중구","40~44세",41세,1723,843,880
"중구","40~44세",42세,1703,832,871
"중구","40~44세",43세,1604,798,806
"중구","40~44세",44세,1636,801,835
"중구","45~49세",소계,7986,3986,4000
"중구","45~49세",45세,1606,791,815
"중구","45~49세",46세,1608,789,819
"중구","45~49세",47세,1606,820,786
"중구","45~49세",48세,1558,777,781
"중구","45~49세",49세,1608,809,799
"중구","50~54세",소계,7471,3691,3780
"중구","50~54세",50세,1632,807,825
"중구","50~54세",51세,1478,725,753
"중구","50~54세",52세,1488,746,742
"중구","50~54세",53세,1409,685,724
"중구","50~54세",54세,1464,728,736
"중구","55~59세",소계,7466,3695,3771
"중구","55~59세",55세,1375,666,709
"중구","55~59세",56세,1474,745,729
"중구","55~59세",57세,1439,701,738
"중구","55~59세",58세,1532,801,731
"중구","55~59세",59세,1646,782,864
"중구","60~64세",소계,8123,4095,4028
"중구","60~64세",60세,1708,892,816
"중구","60~64세",61세,1689,847,842
"중구","60~64세",62세,1725,862,863
"중구","60~64세",63세,1500,744,756
"중구","60~64세",64세,1501,750,751
"중구","65~69세",소계,7955,3895,4060
"중구","65~69세",65세,1484,730,754
"중구","65~69세",66세,1486,745,741
"중구","65~69세",67세,1560,758,802
"중구","65~69세",68세,1727,875,852
"중구","65~69세",69세,1698,787,911
"중구","70~74세",소계,8836,4219,4617
"중구","70~74세",70세,1798,912,886
"중구","70~74세",71세,1826,855,971
"중구","70~74세",72세,1794,876,918
"중구","70~74세",73세,1755,819,936
"중구","70~74세",74세,1663,757,906
"중구","75~79세",소계,7787,3534,4253
"중구","75~79세",75세,1524,722,802
"중구","75~79세",76세,1513,700,813
"중구","75~79세",77세,1609,720,889
"중구","75~79세",78세,1440,623,817
"중구","75~79세",79세,1701,769,932
"중구","80~84세",소계,7307,3015,4292
"중구","80~84세",80세,1456,636,820
"중구","80~84세",81세,1676,683,993
"중구","80~84세",82세,1522,648,874
"중구","80~84세",83세,1375,543,832
"중구","80~84세",84세,1278,505,773
"중구","85~89세",소계,4570,1662,2908
"중구","85~89세",85세,1170,459,711
"중구","85~89세",86세,1015,372,643
"중구","85~89세",87세,1012,361,651
"중구","85~89세",88세,742,257,485
"중구","85~89세",89세,631,213,418
"중구","90~94세",소계,1983,611,1372
"중구","90~94세",90세,574,179,395
"중구","90~94세",91세,394,132,262
"중구","90~94세",92세,412,124,288
"중구","90~94세",93세,315,95,220
"중구","90~94세",94세,288,81,207
"중구","95세 이상",소계,782,182,600
"용산구","합계",소계,185509,88009,97500
"용산구","0~4세",소계,5510,2808,2702
"용산구","0~4세",0세,1210,623,587
"용산구","0~4세",1세,1120,573,547
"용산구","0~4세",2세,1079,549,530
"용산구","0~4세",3세,1060,537,523
"용산구","0~4세",4세,1041,526,515
"용산구","5~9세",소계,4387,2182,2205
"용산구","5~9세",5세,997,502,495
"용산구","5~9세",6세,926,462,464
"용산구","5~9세",7세,864,428,436
"용산구","5~9세",8세,820,405,415
"용산구","5~9세",9세,780,385,395
"용산구","10~14세",소계,3304,1649,1655
"용산구","10~14세",10세,736,364,372
"용산구","10~14세",11세,696,345,351
"용산구","10~14세",12세,660,330,330
"용산구","10~14세",13세,623,312,311
"용산구","10~14세",14세,589,298,291
"용산구","15~19세",소계,3202,1586,1616
"용산구","15~19세",15세,564,286,278
"용산구","15~19세",16세,547,286,261
"용산구","15~19세",17세,564,277,287
"용산구","15~19세",18세,703,357,346
"용산구","15~19세",19세,824,380,444
"용산구","20~24세",소계,6958,3102,3856
"용산구","20~24세",20세,1015,468,547
"용산구","20~24세",21세,1209,550,659
"용산구","20~24세",22세,1334,597,737
"용산구","20~24세",23세,1578,686,892
"용산구","20~24세",24세,1822,801,1021
"용산구","25~29세",소계,13195,5926,7269
"용산구","25~29세",25세,2119,926,1193
"용산구","25~29세",26세,2490,1095,1395
"용산구","25~29세",27세,2682,1211,1471
"용산구","25~29세",28세,2832,1285,1547
"용산구","25~29세",29세,3072,1409,1663
"용산구","30~34세",소계,15668,7331,8337
"용산구","30~34세",30세,3231,1503,1728
"용산구","30~34세",31세,3222,1501,1721
"용산구","30~34세",32세,3014,1414,1600
"용산구","30~34세",33세,3083,1459,1624
"용산구","30~34세",34세,3118,1454,1664
"용산구","35~39세",소계,13777,6588,7189
"용산구","35~39세",35세,2937,1397,1540
"용산구","35~39세",36세,2648,1258,1390
"용산구","35~39세",37세,2738,1316,1422
"용산구","35~39세",38세,2768,1308,1460
